Rank,Score,Title,Genre,Synopsis
165,8.3,Horimiya,"Animation, Comedy, Drama",Two very different people - an academically successful schoolgirl and a quiet loser schoolboy - meet and develop a friendship.
166,8.3,Wonder Egg Priority,"Animation, Action, Drama","While on a midnight stroll, a girl named Ai picks up an egg. A voice coaxes her: ""If you want to change the future, you only need to choose now. Now, believe in yourself and break the egg."" What awaits Ai after the breaking of the egg?"
167,8.3,Hellsing Ultimate,"Animation, Action, Fantasy","The vampire Alucard, his master Sir Integra Fairbrook Wingates Hellsing, and his newly sired ward Seras Victoria, try to protect England from a war-crazed SS-Major who seeks to start an eternal war with his vampire army."
168,8.3,Saiki Kusuo no Psi Nan,"Animation, Comedy, Fantasy","Saiki Kusuo is a powerful psychic who hates attracting attention, yet he is surrounded by colorful characters who always find a way to remove him from his everyday life."
169,8.3,Fate/Zero,"Animation, Action, Drama",Seven chosen mages and their summoned heroic spirits fight against each other to try and win the Holy Grail: a magical device that can grant any wish.
170,8.3,Tengen toppa gurren lagann,"Animation, Action, Adventure","Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages."
171,8.3,Yuri!!! On Ice,"Animation, Comedy, Drama","After suffering defeat, Yuri Katsuki hangs up his ice skates for good. But will an encounter with two top skaters reignite his passion?"
172,8.3,Trigun,"Animation, Action, Adventure",Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!
173,8.3,Mahô shôjo Madoka magika: Puella Magi Madoka Magica,"Animation, Drama, Fantasy","A creature named Kyubey offers Madoka and Sayaka a wish if they agree to become 'magical girls' and fight abstract beings called 'witches'. However, a magical girl named Homura is, for uncertain reasons, determined to stop this agreement."
174,8.3,Doragon kuesuto: Dai no daibouken,"Animation, Action, Adventure",Dai is the only human living on the island and his dream is to grow up to be a hero.
175,8.3,Baccano!,"Animation, Action, Adventure","A crazy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades."
176,8.3,N.H.K ni yôkoso!,"Animation, Comedy, Drama",This surreal dramedy follows Satou Tatsuhiro as he attempts to escape the evil machinations of the NHK.
177,8.3,Nichijou,"Animation, Comedy","A group of students lead normal lives and cope with normal predicaments, but all too often find themselves in abnormal situations."
178,8.3,Kyaputen Tsubasa,"Animation, Adventure, Drama",A 11-year-old boy who loves soccer and soccer balls.
179,8.3,Hokuto no Ken,"Animation, Action, Adventure","In the year 199X, human civilization has been all but destroyed by a nuclear holocaust. In an age where the strong rule over the weak, the survivors of the fallout struggle over the ...                See full summary »"
180,8.3,Mononoke,"Animation, Fantasy, Horror","A mysterious man called the Medicine Seller travels along feudal Japan, uncovering and slaying evil spirits called ""Mononoke""."
181,8.3,Sora yori mo Tooi Basho,"Animation, Adventure, Comedy","Mari Tamaki is in her second year of high school and wants to start something. It's then that she meets Shirase, a girl with few friends who's considered weirdo by the rest of the class and...                See full summary »"
182,8.3,Rainbow: Nishakubou no shichinin,"Animation, Crime, Drama","Set in 1955, the anime follows the story of seven teenagers locked in a reformatory, waiting for a ray of light in a daily hell of suffering and humiliation, focusing especially on how they faced the life once regained freedom."
183,8.3,Gyakkyô burai Kaiji,"Animation, Action, Thriller","Kaiji Itou is a good-for-nothing loiterer who spends his days drinking beer and stealing hubcaps-that is, until he ends up being tricked by his former co-worker. Unable to suddenly repay ...                See full summary »"
184,8.3,Sakamichi no Apollon,"Animation, Drama, Music",Two different students - a successful but aloof academic and a rebellious but kindhearted delinquent - form a friendship through their love for music.
185,8.3,Owarimonogatari,"Animation, Comedy, Fantasy",The end of the saga of Araragi Koyomi. What are they fighting against? What will happen to them? And who- or what- is the darkness?
186,8.3,Yu-Gi-Oh!,"Animation, Action, Adventure","Yu-Gi-Oh! follows the adventures of high school student Yugi, who has a magical secret that comes to life when he plays his favorite card game: 'Duel Monsters."
187,8.3,Tanoshî Mûmin ikka,"Animation, Adventure, Comedy",The eerie and charming animated adventures of a creature called Moomin and his friends and family.
188,8.3,Seirei no moribito,"Animation, Action, Adventure",The Second Empress hires a spear-wielding woman to save her son from the Mikado (emperor) who believes the young prince is possessed by a water demon foretold to bring a terrible drought upon the land should he live.
189,8.3,Gekijouban Gintama Kanketsu-hen: Yorozuyayo eien nare,"Animation, Action, Comedy",Gintoki travels into the future and discovers it to be a wasteland with his friends fallen apart. He reunites them to find out what went wrong and how to fix things.
190,8.3,Usagi doroppu,"Animation, Comedy, Drama",A man adopts his six-year-old aunt and raises her as his own kid.
191,8.3,Seinto Seiya: The Lost Canvas - Meio Shinwa,"Animation, Action, Adventure","Story of the Holy War taking place in the 18th century, 250 years before the original Saint Seiya series. It centers on the fight between Tenma, one of the 88 Saints following Athena, and Alone, the reincarnation of the God Hades."
192,8.3,Uchu Senkan Yamato 2199,"Animation, Action, Adventure","In the year 2199, the space battleship Yamato embarks on a voyage to the planet Iscandar, to retrieve a device that will rejuvenate a war-ravaged Earth."
193,8.3,Beck: Mongolian Chop Squad,"Animation, Drama, Music","Koyuki meets the guitarist, Ryuske, and discovers a love and talent for music."
194,8.3,Initial D: Fifth Stage,Animation,"The final stage of Project D's expeditions is coming, and is to be the hardest yet."
195,8.3,One Outs,"Animation, Drama, Sport","Hiromichi Kojima, the star batter of the Lycaons, heads to the southern Japanese island of Okinawa to train and find a new pitcher for the team. There, he meets Toa Tokuchi, a 134-kmph ...                See full summary »"
196,8.3,Berusaiyu no bara,"Animation, Drama, Romance","The story of Lady Oscar, a female military commander who served during the time of the French Revolution."
197,8.3,UFO robo: Gurendaizâ,"Animation, Action, Romance","Escaping from Vega's evil forces, the young Prince of planet Fleed leaves his destroyed homeland aboard the UFO Robot Grendizer, a powerful war machine, and makes it to Earth. Rescued by a ...                See full summary »"
198,8.3,Hikaru no go,"Animation, Fantasy, Sport",A shounen style anime based around the Japanese game of 'Go'.
199,8.3,Hajime no ippo - Champion road,"Animation, Action, Comedy","As the new Champion, Ippo now must protect his title against some of the best boxers available."
200,8.3,Kôkaku kidôtai: Stand alone complex - The laughing man,"Animation, Action, Drama",A compilation movie featuring scenes from Ghost in the Shell: Stand Alone Complex.
